,Name,Full_Address,Website,Plus_Code,Rating,Reviews,URL
621,Warung The Sorent,"Unnamed Road, Pejukutan, Nusapenida, Klungkung Regency, Bali 80771",warungthesorent.com,"6JF5+RG Pejukutan, Klungkung Regency, Bali",4.5,29,"https://www.google.com/maps/place/Warung+The+Sorent/@-8.6567527,114.5897129,9z/data=!4m9!1m3!2m2!1srestaurants+in+Klungkung+Regency,+Bali!6e5!3m4!1s0x2dd277514860620f:0x8e5f9dd77ab96577!8m2!3d-8.7754606!4d115.6088683?hl=id"
622,Warung D'Munduk,"Jl. Pura Puseh, Munduk, Kec. Banjar, Kabupaten Buleleng, Bali 81161",warung-d-munduk.business.site,"P3M4+48 Munduk, Buleleng Regency, Bali",4.7,29,"https://www.google.com/maps/place/Warung+D'Munduk/@-8.2672088,114.9157154,11z/data=!4m9!1m3!2m2!1srestaurants+in+Tabanan+Regency,+Bali!6e5!3m4!1s0x2dd1867b6a905b83:0x411501d6a8eda063!8m2!3d-8.2672088!4d115.0557911?hl=id"
623,Koral: Balis First Aquarium Restaurant,"Unnamed Road, Benoa, South Kuta, Badung Regency, Bali",kempinski.com,"56C8+5V Benoa, Badung Regency, Bali",4.5,30,"https://www.google.com/maps/place/Koral:+Bali%E2%80%99s+First+Aquarium+Restaurant/@-8.657239,115.0125274,11z/data=!4m9!1m3!2m2!1srestaurants+in+Badung+Regency,+Bali!6e5!3m4!1s0x2dd25de9215eb521:0x278851afb24ab55c!8m2!3d-8.8295945!4d115.2172139?hl=id"
624,D'Sonic Coffee & Resto,"Jl. Gunung Agung No.15, Dajan Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82114",business.site,"F47G+QH Dajan Peken, Tabanan Regency, Bali",4.3,30,"https://www.google.com/maps/place/D'Sonic+Coffee+%26+Resto/@-8.6570861,115.010465,11z/data=!4m9!1m3!2m2!1srestaurants+in+Tabanan+Regency,+Bali!6e5!3m4!1s0x2dd23a58887d1f89:0x8205cafa6a8ec4ad!8m2!3d-8.5355634!4d115.1264858?hl=id"
625,Bukit Asmara,"Sangkan Gunung, Sidemen, Sangkan Gn., Karangasem, Kabupaten Karangasem, Bali 80864",,"GCQM+XC Sangkan Gunung, Karangasem Regency, Bali",4.1,30,"https://www.google.com/maps/place/Bukit+Asmara/@-8.5066963,115.0803123,10z/data=!4m9!1m3!2m2!1sobjek+wisata+di+bali!6e1!3m4!1s0x2dd21a8a2ba9c5f9:0xcefead781e702a1a!8m2!3d-8.4600192!4d115.4335244?hl=id"
626,Prana Indian Restaurant Bali,"Jl. Kunti I No.118X, Seminyak, Kuta, Kabupaten Badung, Bali 80361",impianaseminyak.com,"856C+F4 Seminyak, Badung Regency, Bali",3.9,31,"https://www.google.com/maps/place/Prana+Indian+Restaurant+Bali/@-8.657239,115.0125274,11z/data=!4m9!1m3!2m2!1srestaurants+in+Badung+Regency,+Bali!6e5!3m4!1s0x2dd247215f4bb991:0x544774bb45f7fb33!8m2!3d-8.6887563!4d115.1703148?hl=id"
628,Nalika Beach Resort & Restaurant,"Jl. Umeanyar, Umeanyar, Kec. Seririt, Kabupaten Buleleng, Bali 81153",nalikabeachresort.com,"RW87+8R Umeanyar, Buleleng Regency, Bali",4.8,31,"https://www.google.com/maps/place/Nalika+Beach+Resort+%26+Restaurant/@-8.1842133,114.7745432,11z/data=!4m12!1m3!2m2!1srestaurants+in+Buleleng+Regency,+Bali!6e5!3m7!1s0x2dd19d55ba7eb359:0x3991a1c6968583fe!5m2!4m1!1i2!8m2!3d-8.1842133!4d114.9146189?hl=id"
629,Turtle Sport Bar Bali,"Jl. Poppies II No.2, Kuta, Kabupaten Badung, Bali 80361",turtlesportbarbali.com,"75MC+4Q Kuta, Badung Regency, Bali",4.5,31,"https://www.google.com/maps/place/Turtle+Sport+Bar+Bali/@-8.7172014,115.1369566,13z/data=!4m9!1m3!2m2!1srestaurants+in+Denpasar+Regency,+Bali!6e5!3m4!1s0x2dd246b9398649d5:0xcde5cb4df5ba8bc8!8m2!3d-8.7172014!4d115.1719755?hl=id"
631,food garden,"Jl. Surapati No.21, Dangin Puri, Kec. Denpasar Tim., Kota Denpasar, Bali 80232",foodgardenbali.blogspot.com,"86VC+G5 Dangin Puri, Denpasar City, Bali",4.6,31,"https://www.google.com/maps/place/food+garden/@-8.6703321,115.2031965,13z/data=!4m9!1m3!2m2!1srestaurants+in+Denpasar+Regency,+Bali!6e5!3m4!1s0x2dd2409bbc22b831:0xca6158e3547f6fe1!8m2!3d-8.6562325!4d115.220453?hl=id"
634,Friends Bar & Restaurant,"Jl. Raya Candidasa, Sengkidu, Candidasa, Kabupaten Karangasem, Bali 80851",friends-bali.com,"FHQF+M8 Sengkidu, Karangasem Regency, Bali",4,31,"https://www.google.com/maps/place/Friends+Bar+%26+Restaurant/@-8.6568036,114.5904003,9z/data=!4m9!1m3!2m2!1srestaurants+in+Karangasem+Regency,+Bali!6e5!3m4!1s0x2dd2092c2fe89037:0x252f627750d955db!8m2!3d-8.5108333!4d115.5733333?hl=id"
