,Name,Full_Address,Website,Plus_Code,Rating,Reviews,URL
0,WISATA EDUKASIKA,"Jl. Raya Kasongan Sentanan RT.06, Kajen, Bangunjiwo, Kec. Kasihan, Bantul, Daerah Istimewa Yogyakarta 55184",wisata-edukasi.com,"584P+6J Bangunjiwo, Bantul Regency, Special Region of Yogyakarta",5,1,"https://www.google.com/maps/place/WISATA+EDUKASIKA/@-7.8172993,109.9866025,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a578e8988fb67:0x6a0b8b09a52b7720!8m2!3d-7.8444068!4d110.3365913!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhkgEPdHJhaW5pbmdfY2VudGVy?hl=id"
1,PaketWisataJogja75,"Jl. Srandakan, Km.2, Brosot, Caturharjo, Pandak, Bantul, Yogyakarta, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55761",paketwisatajogja75.com,"365P+XP Brosot, Kulon Progo Regency, Special Region of Yogyakarta",5,1,"https://www.google.com/maps/place/PaketWisataJogja75/@-7.940013,109.9566976,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7afe763929212f:0xa4f41a44b6e41d3a!8m2!3d-7.940013!4d110.236849!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhkgENdHJhdmVsX2FnZW5jeQ?hl=id"
2,OJEK WISATA YOGYA,"Suryatmajan, Danurejan, Yogyakarta City, Special Region of Yogyakarta 55213",,"6939+QQ Suryatmajan, Yogyakarta City, Special Region of Yogyakarta",5,1,"https://www.google.com/maps/place/OJEK+WISATA+YOGYA/@-7.9413718,110.1445831,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a5933902930ef:0xbc138c2dc0bbf9ae!8m2!3d-7.7955798!4d110.3694896!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhkgENdHJhdmVsX2FnZW5jeQ?hl=id"
3,Domus Loji,"Unknown street, Gayam, Banyuroto, Nanggulan, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55671",,"652C+3J Banyuroto, Kulon Progo Regency, Special Region of Yogyakarta",5,1,"https://www.google.com/maps/place/Domus+Loji/@-7.818038,109.986619,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+kulon+progo!6e1!3m5!1s0x2e7af17d8e4cfbfb:0x7d5545bb452106df!8m2!3d-7.7998108!4d110.1715283!15sCh1vYmplayB3aXNhdGEgbmVhciBrdWxvbiBwcm9nb5IBEHBsYWNlX29mX3dvcnNoaXA?hl=id"
5,Wahana Wisata,"Jl. Tj. No.321, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,"69VX+MQ Condongcatur, Sleman Regency, Special Region of Yogyakarta",5,1,"https://www.google.com/maps/place/Wahana+Wisata/@-7.8176686,109.9866108,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+sleman!6e1!3m5!1s0x2e7a59a10001a077:0x68364745c596687c!8m2!3d-7.7558079!4d110.3993664!15sChhvYmplayB3aXNhdGEgbmVhciBzbGVtYW6SAQ10cmF2ZWxfYWdlbmN5?hl=id"
6,Jeep wisata merapi,"Jl. Tlogo Putri Gg. Gareng, Kaliurang, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",jeepwisatamerapi.business.site,"9CXH+69 Hargobinangun, Sleman Regency, Special Region of Yogyakarta",5,1,"https://www.google.com/maps/place/Jeep+wisata+merapi/@-7.8176686,109.9866108,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+sleman!6e1!3m5!1s0x2e7a67c11959239b:0xc86352d0bb890410!8m2!3d-7.601937!4d110.4283594!15sChhvYmplayB3aXNhdGEgbmVhciBzbGVtYW6SAQt0b3VyX2FnZW5jeQ?hl=id"
7,Pantai kukup,"Tahunan, Umbulharjo, Yogyakarta City, Special Region of Yogyakarta 55167",,"59XM+2W Tahunan, Yogyakarta City, Special Region of Yogyakarta",4,1,"https://www.google.com/maps/place/Pantai+kukup/@-8.1703641,110.3724932,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7a57b5f629be8d:0x3d5b00307ffeef12!8m2!3d-7.8023546!4d110.3848568!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySARJ0b3VyaXN0X2F0dHJhY3Rpb24?hl=id"
8,Titik Lokasi Goa Pindul,"Dusun Gelaran 2, Jl. Goa Pindul, Seropan, Bejiharjo, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891",,"3J9X+M6 Bejiharjo, Gunung Kidul Regency, Special Region of Yogyakarta",5,1,"https://www.google.com/maps/place/Titik+Lokasi+Goa+Pindul/@-8.0961535,110.1548969,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7a4b3c0b3fe41b:0x1aff758a91624343!8m2!3d-7.930764!4d110.648088!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySARp0b3VyaXN0X2luZm9ybWF0aW9uX2NlbnRlcg?hl=id"
9,Garuda,"Rejowinangun, Kotagede, Yogyakarta City, Special Region of Yogyakarta 55172",garuda-indonesia.com,"59PV+6Q Rejowinangun, Yogyakarta City, Special Region of Yogyakarta",4,2,"https://www.google.com/maps/place/Garuda/@-7.9317561,110.1520157,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a576cc44b1241:0x175e4430f9119cc2!8m2!3d-7.8143894!4d110.394407!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhkgEHYWlybGluZQ?hl=id"
10,Jogja Travel Wisata,"Jl. Karangbendo Kulon No.277, Jaranan, Banguntapan, Kec. Banguntapan, Bantul, Daerah Istimewa Yogyakarta 55198",jogjatravelwisata.com,"6C54+R2 Banguntapan, Bantul Regency, Special Region of Yogyakarta",4.5,2,"https://www.google.com/maps/place/Jogja+Travel+Wisata/@-7.9410486,110.1445762,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a59e0e16ec6e9:0x8c1a7dd82107010!8m2!3d-7.7904408!4d110.4051129!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBDXRyYXZlbF9hZ2VuY3k?hl=id"
