,Name,Full_Address,Website,Plus_Code,Rating,Reviews,URL
747,LAGUNA PANTAI TRISIK,"Area Sawah, Banaran, Galur, Kulon Progo Regency, Special Region of Yogyakarta 55661",,"25GV+3G Banaran, Kulon Progo Regency, Special Region of Yogyakarta",4,"1,002","https://www.google.com/maps/place/LAGUNA+PANTAI+TRISIK/@-7.8202403,110.0938245,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+kulon+progo!6e1!3m5!1s0x2e7b027bfe2e165b:0x77fed80c70c86f0!8m2!3d-7.9747776!4d110.1938541!15sCh1vYmplayB3aXNhdGEgbmVhciBrdWxvbiBwcm9nb1otCgxvYmplayB3aXNhdGEiHW9iamVrIHdpc2F0YSBuZWFyIGt1bG9uIHByb2dvkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJKTTNSRGFIVjNSUkFC?hl=id"
748,Gunung Ireng Srumbung,"Ngrancahan, Pengkok, Patuk, Gunung Kidul Regency, Special Region of Yogyakarta 55862",,"4F8Q+VV Pengkok, Gunung Kidul Regency, Special Region of Yogyakarta",4.5,"1,017","https://www.google.com/maps/place/Gunung+Ireng+Srumbung/@-8.1861596,110.4115274,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7a523b341b1103:0xb83c0f106770ecfe!8m2!3d-7.8827926!4d110.4896548!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmpjMGxJYmsxbkVBRQ?hl=id"
749,Candi Abang,"Blambangan, Jogotirto, Berbah, Sleman Regency, Special Region of Yogyakarta 55573",candi.perpusnas.go.id,"5FQ9+VF Jogotirto, Sleman Regency, Special Region of Yogyakarta",4.2,"1,027","https://www.google.com/maps/place/Candi+Abang/@-7.8172993,109.9866025,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a508b5e9cb8e5:0xe4ec094fa5ffe7d9!8m2!3d-7.8103728!4d110.468686!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBE2hpc3RvcmljYWxfbGFuZG1hcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjNNVzlRUW5SUlJSQUI?hl=id"
751,Jomblang Cave,"Jetis, Pacarejo, Semanu, Gunung Kidul Regency, Special Region of Yogyakarta 55893",goa-jomblang.com,"XJCQ+P8 Pacarejo, Gunung Kidul Regency, Special Region of Yogyakarta",4.6,"1,063","https://www.google.com/maps/place/Jomblang+Cave/@-7.7900282,110.0860085,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+sleman!6e1!3m5!1s0x2e7bb41fce34d717:0xf9ffcb6f9fbd5cce!8m2!3d-8.0281562!4d110.6383307!15sChhvYmplayB3aXNhdGEgbmVhciBzbGVtYW5aKAoMb2JqZWsgd2lzYXRhIhhvYmplayB3aXNhdGEgbmVhciBzbGVtYW6SARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlJhMloyVGxCM0VBRQ?hl=id"
754,Gunungkidul Handayani Park,"Patuk, Gunung Kidul Regency, Special Region of Yogyakarta 55792",,"5F3H+4P Patuk, Gunung Kidul Regency, Special Region of Yogyakarta",4.5,"1,071","https://www.google.com/maps/place/Gunungkidul+Handayani+Park/@-8.0961535,110.1548969,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7a51a153ba482f:0xcf3d00cbedb96039!8m2!3d-7.8471729!4d110.479331!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJCYzJWcVZIRkJSUkFC?hl=id"
756,Pantai Parangtritis,"Pantai, Parangtritis, Kretek, Bantul Regency, Special Region of Yogyakarta",parangtritis.bantulkab.go.id,"X8FP+4R Parangtritis, Bantul Regency, Special Region of Yogyakarta",4.5,"1,081","https://www.google.com/maps/place/Pantai+Parangtritis/@-7.8202403,110.0938245,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+kulon+progo!6e1!3m5!1s0x2e7b00a007eeb1f7:0x243627829a3ba7e7!8m2!3d-8.0272233!4d110.3370948!15sCh1vYmplayB3aXNhdGEgbmVhciBrdWxvbiBwcm9nb1otCgxvYmplayB3aXNhdGEiHW9iamVrIHdpc2F0YSBuZWFyIGt1bG9uIHByb2dvkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJUTTNacVQxWlJFQUU?hl=id"
757,Pantai Sepanjang,"Jl. Sepanjang, Ngalos, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",,"VH79+8C Kemadang, Gunung Kidul Regency, Special Region of Yogyakarta",4.5,"1,098","https://www.google.com/maps/place/Pantai+Sepanjang/@-8.1902176,110.4302258,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7bbaf551cbaf3f:0x9c3710b67afb261a!8m2!3d-8.1367336!4d110.568552!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySAQxwdWJsaWNfYmVhY2g?hl=id"
758,Puncak Suroloyo,"Keceme, Gerbosari, Samigaluh, Kulon Progo Regency, Special Region of Yogyakarta 56553",,"953J+FC Gerbosari, Kulon Progo Regency, Special Region of Yogyakarta",4.4,"1,102","https://www.google.com/maps/place/Puncak+Suroloyo/@-7.8202403,110.0938245,10z/data=!4m9!1m2!2m1!1sobjek+wisata+near+kulon+progo!3m5!1s0x2e7af2d15aa5584f:0x6bd89457c09e63df!8m2!3d-7.6463546!4d110.181062!15sCh1vYmplayB3aXNhdGEgbmVhciBrdWxvbiBwcm9nb1otCgxvYmplayB3aXNhdGEiHW9iamVrIHdpc2F0YSBuZWFyIGt1bG9uIHByb2dvkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJWYlRZMlVERkJSUkFC?hl=id"
759,THE CANGKRINGAN JOGJA VILLAS & SPA,"Jl. Raya Merapi Golf, Plosokarep, Umbulharjo, Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583",cangkringan-villa.com,"9CFV+GR Umbulharjo, Sleman Regency, Special Region of Yogyakarta",4.3,"1,115","https://www.google.com/maps/place/THE+CANGKRINGAN+JOGJA+VILLAS+%26+SPA/@-7.6262354,110.1643676,10z/data=!4m13!1m3!2m2!1sobjek+wisata+near+sleman!6e1!3m8!1s0x2e7a6745014dec99:0x32c7d9ecba01fb67!5m2!4m1!1i2!8m2!3d-7.6261931!4d110.4445104!15sChhvYmplayB3aXNhdGEgbmVhciBzbGVtYW5aKAoMb2JqZWsgd2lzYXRhIhhvYmplayB3aXNhdGEgbmVhciBzbGVtYW6SAQxyZXNvcnRfaG90ZWw?hl=id"
760,Pantai Nguyahan,"Pantai ngobaran, Gebang, Kanigoro, Sapto Sari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55871",business.site,"VGJ3+J6 Kanigoro, Gunung Kidul Regency, Special Region of Yogyakarta",4.5,"1,115","https://www.google.com/maps/place/Pantai+Nguyahan/@-8.1178626,110.2193334,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7bafaeaaaaaaab:0x5e9a2a78a79b968!8m2!3d-8.1184709!4d110.5030696!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySAR1ob2xpZGF5X2FjY29tbW9kYXRpb25fc2VydmljZQ?hl=id"
