,Name,Full_Address,Website,Plus_Code,Rating,Reviews,URL
557,Village Tourism New Nglepen,"Sengir, Sumberharjo, Prambanan, Sleman Regency, Special Region of Yogyakarta 55572",,"5GP3+G9 Sumberharjo, Sleman Regency, Special Region of Yogyakarta",4,301,"https://www.google.com/maps/place/Village+Tourism+New+Nglepen/@-7.8176686,109.9866108,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+sleman!6e1!3m5!1s0x2e7a50664fd7b7f5:0x7f92cc1801a80020!8m2!3d-7.8137377!4d110.5034501!15sChhvYmplayB3aXNhdGEgbmVhciBzbGVtYW5aKAoMb2JqZWsgd2lzYXRhIhhvYmplayB3aXNhdGEgbmVhciBzbGVtYW6SARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkpiVjh6U2pkUlJSQUI?hl=id"
558,Wisata Alam Jurug Gedhe,"Gembyong, Gunungkidul, Gembyong, Ngoro-oro, Kec. Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55862",,"5GGP+9M Ngoro-oro, Gunung Kidul Regency, Special Region of Yogyakarta",4,304,"https://www.google.com/maps/place/Wisata+Alam+Jurug+Gedhe/@-8.1515409,110.333134,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7a4fcc2de96709:0x83abe8cb33f739b5!8m2!3d-7.8240577!4d110.5367479!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm5iR1F0YlhaM1JSQUI?hl=id"
559,Joglo Batoer,"Joglo Batoer batur, Bobung, Putat, Kec. Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55862",batoer-hill.business.site,"4HR2+3Q Putat, Gunung Kidul Regency, Special Region of Yogyakarta",4.3,309,"https://www.google.com/maps/place/Joglo+Batoer/@-8.1314541,110.2688597,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7a4d3daffb81c7:0xfe5c3d5cb09e1cf!8m2!3d-7.85987!4d110.5519279!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTm5jbHBFYVhOQlJSQUI?hl=id"
560,Bendungan Kayangan,"Kepek, Pendoworejo, Girimulyo, Kulon Progo Regency, Special Region of Yogyakarta 55674",rentalmobiljogja.id,"753J+X7 Pendoworejo, Kulon Progo Regency, Special Region of Yogyakarta",4.3,313,"https://www.google.com/maps/place/Bendungan+Kayangan/@-7.8202403,110.0938245,10z/data=!4m9!1m2!2m1!1sobjek+wisata+near+kulon+progo!3m5!1s0x2e7af1a2188ff377:0x8bab59808ed05f3c!8m2!3d-7.7450593!4d110.1806758!15sCh1vYmplayB3aXNhdGEgbmVhciBrdWxvbiBwcm9nb1otCgxvYmplayB3aXNhdGEiHW9iamVrIHdpc2F0YSBuZWFyIGt1bG9uIHByb2dvkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5aYTJWSFYxbEJFQUU?hl=id"
561,PUNCAK GOA JEPANG,"Unnamed Road, Ngerco, Seloharjo, Kec. Pundong, Bantul, Daerah Istimewa Yogyakarta 55771",wisatabaru.com,"X8XH+HJ Seloharjo, Bantul Regency, Special Region of Yogyakarta",4.5,322,"https://www.google.com/maps/place/PUNCAK+GOA+JEPANG/@-7.9456084,110.1605478,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7b007f0e815885:0x5562c1ddfcb7b1bf!8m2!3d-8.001032!4d110.3290002!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSUmQzUkxNVzFCUlJBQg?hl=id"
562,Air Terjun Kembang Soka,"Jl. Raya Kaligesing, Banyunganti, Jatimulyo, Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",,"64M9+C2 Jatimulyo, Kulon Progo Regency, Special Region of Yogyakarta",4.6,324,"https://www.google.com/maps/place/Air+Terjun+Kembang+Soka/@-7.8172993,109.9866025,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7af1e00cc25677:0xfc4eccf8f2a9af7a!8m2!3d-7.7664251!4d110.1175615!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBEnRvdXJpc3RfYXR0cmFjdGlvbg?hl=id"
564,Embung Lampeyan,"Toragan, RT.05/RW.08, Toragan, Tlogoadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55286",,"78CQ+97 Tlogoadi, Sleman Regency, Special Region of Yogyakarta",4.1,326,"https://www.google.com/maps/place/Embung+Lampeyan/@-7.8176686,109.9866108,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+sleman!6e1!3m5!1s0x2e7a58a41585e79f:0xe67b009fb1654e31!8m2!3d-7.7290577!4d110.3382193!15sChhvYmplayB3aXNhdGEgbmVhciBzbGVtYW5aKAoMb2JqZWsgd2lzYXRhIhhvYmplayB3aXNhdGEgbmVhciBzbGVtYW6SARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkJNalJZUkdOUkVBRQ?hl=id"
565,Snack Wonderland,"Jl. Ring Road Utara KM.1,5 No.08, Nanggulan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",snack-wonderland.business.site,"6CHJ+5F Maguwoharjo, Sleman Regency, Special Region of Yogyakarta",4.1,327,"https://www.google.com/maps/place/Snack+Wonderland/@-7.8176686,109.9866108,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+sleman!6e1!3m5!1s0x2e7a5be6a385d897:0x735772d0baa04223!8m2!3d-7.7721185!4d110.4311704!15sChhvYmplayB3aXNhdGEgbmVhciBzbGVtYW5aKAoMb2JqZWsgd2lzYXRhIhhvYmplayB3aXNhdGEgbmVhciBzbGVtYW6SARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkphV0ZNWTBSbkVBRQ?hl=id"
566,Taman Pancuran,"Jl. Ki Ageng Giring No.31, Seneng, Kepek, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55813",,"2HHQ+MM Kepek, Gunung Kidul Regency, Special Region of Yogyakarta",4.2,327,"https://www.google.com/maps/place/Taman+Pancuran/@-8.1709605,110.3720168,10z/data=!4m9!1m2!2m1!1sobjek+wisata+near+gunung+kidul!3m5!1s0x2e7bb3159049c509:0xdc41b557f93a7146!8m2!3d-7.9708244!4d110.5892023!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5uYlMxVVRGcDNFQUU?hl=id"
567,Grojogan Sewu Waterfall,"Beteng, Jatimulyo, Girimulyo, Kulon Progo Regency, Special Region of Yogyakarta 55674",johanfjr.com,"64XP+68 Jatimulyo, Kulon Progo Regency, Special Region of Yogyakarta",4.2,330,"https://www.google.com/maps/place/Grojogan+Sewu+Waterfall/@-7.8172993,109.9866025,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7aee26c07a4dd5:0xf81d5fa18c75048f!8m2!3d-7.7519624!4d110.1358235!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBEnRvdXJpc3RfYXR0cmFjdGlvbg?hl=id"
