,Name,Full_Address,Website,Plus_Code,Rating,Reviews,URL
79,RedDoorz Plus near Kuta Beach Lombok,"Jl. Raya Kuta, Pujut, Kabupaten Lombok, Kuta, Central Lombok Regency, West Nusa Tenggara 83573",m.reddoorz.com,"47PJ+3Q Kuta, Central Lombok Regency, West Nusa Tenggara",5,1,"https://www.google.com/maps/place/RedDoorz+Plus+near+Kuta+Beach+Lombok/@-8.727807,113.3032122,7z/data=!4m10!1m3!2m2!1sobjek+wisata+di+nusa+tenggara+barat!6e1!3m5!1s0x2dcda9ad8da24351:0x18419b84a9cc16f6!8m2!3d-8.86475!4d116.28192!15sCiNvYmplayB3aXNhdGEgZGkgbnVzYSB0ZW5nZ2FyYSBiYXJhdJIBBWhvdGVs?hl=id"
113,Pantai Sodau Bima,"Nggelu, Lambu, Bima, West Nusa Tenggara 84182",,"85M5+C3 Nggelu, Bima, West Nusa Tenggara",5,1,"https://www.google.com/maps/place/Pantai+Sodau+Bima/@-8.666447,118.0370823,8z/data=!4m10!1m3!2m2!1sobjek+wisata+di+nusa+tenggara+barat!6e1!3m5!1s0x2db5a75f413d7b19:0xbbfe9c12f69a3c30!8m2!3d-8.666447!4d119.1576878!15sCiNvYmplayB3aXNhdGEgZGkgbnVzYSB0ZW5nZ2FyYSBiYXJhdJIBA2d5bQ?hl=id"
255,Seruni mumbul,"North Pringgabaya, Pringgabaya, East Lombok Regency, West Nusa Tenggara 83654",,"FJ7V+2C North Pringgabaya, East Lombok Regency, West Nusa Tenggara",5,1,"https://www.google.com/maps/place/Seruni+mumbul/@-8.4994444,114.577678,7z/data=!4m10!1m3!2m2!1sobjek+wisata+near+nusa+tenggara+barat!6e1!3m5!1s0x2dcc3926e58669f9:0xd52a3105cee93d73!8m2!3d-8.5373782!4d116.6435436!15sCiVvYmplayB3aXNhdGEgbmVhciBudXNhIHRlbmdnYXJhIGJhcmF0WjUKDG9iamVrIHdpc2F0YSIlb2JqZWsgd2lzYXRhIG5lYXIgbnVzYSB0ZW5nZ2FyYSBiYXJhdJIBCnJlc3RhdXJhbnQ?hl=id"
256,Dinas Pariwisata Kabupaten Lombok Barat,"Dasan Geres, Gerung, West Lombok Regency, West Nusa Tenggara 83363",dispar.lombokbaratkab.go.id,"848Q+VC Dasan Geres, West Lombok Regency, West Nusa Tenggara",5,1,"https://www.google.com/maps/place/Dinas+Pariwisata+Kabupaten+Lombok+Barat/@-8.4994444,114.577678,7z/data=!4m10!1m3!2m2!1sobjek+wisata+near+nusa+tenggara+barat!6e1!3m5!1s0x2dcdbbf51cb4810b:0xc7720d7a41800537!8m2!3d-8.6828776!4d116.1385906!15sCiVvYmplayB3aXNhdGEgbmVhciBudXNhIHRlbmdnYXJhIGJhcmF0WjUKDG9iamVrIHdpc2F0YSIlb2JqZWsgd2lzYXRhIG5lYXIgbnVzYSB0ZW5nZ2FyYSBiYXJhdJIBEGNvcnBvcmF0ZV9vZmZpY2U?hl=id"
32,Paket Wisata Murah Di Lombok,"Jl. Gotong Royong, Kr. Baru, Kel. Kebun Sari, Pejarakan Karya, Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar. 83113",wisatadilombok.com,"C3GW+J9 Pejarakan Karya, Mataram City, West Nusa Tenggara",4.5,2,"https://www.google.com/maps/place/Paket+Wisata+Murah+Di+Lombok/@-8.8947518,115.1625648,8z/data=!4m10!1m3!2m2!1sobjek+wisata+di+ntb!6e1!3m5!1s0x2dcdc08ebf99a6ff:0x402f35fa1a74f7d0!8m2!3d-8.573495!4d116.095908!15sChNvYmplayB3aXNhdGEgZGkgbnRiWiMKDG9iamVrIHdpc2F0YSITb2JqZWsgd2lzYXRhIGRpIG50YpIBDXRyYXZlbF9hZ2VuY3k?hl=id"
23,Kaki Gunung Rinjani,"Loloan, Bayan, North Lombok Regency, West Nusa Tenggara 83354",,"JCVM+JR Loloan, North Lombok Regency, West Nusa Tenggara",3.3,3,"https://www.google.com/maps/place/Kaki+Gunung+Rinjani/@-8.441847,114.9174947,8z/data=!4m10!1m3!2m2!1sobjek+wisata+di+ntb!6e1!3m5!1s0x2dcc2cdbb1dc8eef:0xf35245dfb4e7434b!8m2!3d-8.3558795!4d116.4346229!15sChNvYmplayB3aXNhdGEgZGkgbnRikgENdHJhdmVsX2FnZW5jeQ?hl=id"
81,Pantai Palamoko,"Desa Palamoko, Patiala Bawa, Lamboya, Kabupaten Sumba Barat, Nusa Tenggara Tim.",,"69Q3+75 Patiala Bawa, West Sumba Regency, East Nusa Tenggara",4.3,3,"https://www.google.com/maps/place/Pantai+Palamoko/@-8.5850461,117.1999367,7z/data=!4m10!1m3!2m2!1sobjek+wisata+di+nusa+tenggara+barat!6e1!3m5!1s0x2c4afd0042a5c3f7:0x924d3b93a712d7ea!8m2!3d-9.7617542!4d119.3529904!15sCiNvYmplayB3aXNhdGEgZGkgbnVzYSB0ZW5nZ2FyYSBiYXJhdJIBEnRvdXJpc3RfYXR0cmFjdGlvbg?hl=id"
24,PT.PESONA WISATA LOMBOK,"Jl. Krakatau No.15, Midang, Gunung Sari, West Lombok Regency, West Nusa Tenggara 83351",pesonawisatalombok.com,"C4V7+QP Midang, West Lombok Regency, West Nusa Tenggara",4.5,4,"https://www.google.com/maps/place/PT.PESONA+WISATA+LOMBOK/@-8.441847,114.9174947,8z/data=!4m10!1m3!2m2!1sobjek+wisata+di+ntb!6e1!3m5!1s0x2dcdc0c2b5bd1805:0xe405d94b8d254e60!8m2!3d-8.5555077!4d116.1142719!15sChNvYmplayB3aXNhdGEgZGkgbnRikgELdG91cl9hZ2VuY3k?hl=id"
109,Santigi Beach Bar,"Gili Trawangan, Gili Indah, Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83352",,"J2WH+2W Gili Indah, North Lombok Regency, West Nusa Tenggara",4.8,4,"https://www.google.com/maps/place/Santigi+Beach+Bar/@-8.5769109,114.9623775,8z/data=!4m10!1m3!2m2!1sobjek+wisata+di+nusa+tenggara+barat!6e1!3m5!1s0x2dcde7527461bd29:0xe31da6fc98386576!8m2!3d-8.3549878!4d116.0298608!15sCiNvYmplayB3aXNhdGEgZGkgbnVzYSB0ZW5nZ2FyYSBiYXJhdFozCgxvYmplayB3aXNhdGEiI29iamVrIHdpc2F0YSBkaSBudXNhIHRlbmdnYXJhIGJhcmF0kgEDYmFy?hl=id"
45,Pantai Tanjung Meriam,"Lambu, Bima, West Nusa Tenggara",,"95QR+P3 Lambu, Bima, West Nusa Tenggara",4.2,5,"https://www.google.com/maps/place/Pantai+Tanjung+Meriam/@-8.8121709,116.4096462,7z/data=!4m10!1m3!2m2!1sobjek+wisata+di+ntb!6e1!3m5!1s0x2db5a7da3b883f51:0xe6cd08c741a63894!8m2!3d-8.6107248!4d119.1902242!15sChNvYmplayB3aXNhdGEgZGkgbnRikgESdG91cmlzdF9hdHRyYWN0aW9u?hl=id"
